SERIAL_NO|CARD_NO|GETON_YMD|GETON_TM|TRANSACTION_ID|TR_MEANS_TYPE|TRANSF_CNT|BUS_ROUTE_ID|BUS_CO_ID|BUS_CAR_ID|USR_TYPE|DRVN_START_YMD|DRVN_START_TM|GETON_BUS_STTN_ID|GETOFF_YMD|GETOFF_TM|GETOFF_BUS_STTN_ID|YSR_CNT|GETON_PAY|GETOFF_PAY|DRVR_ID|GETON_CALC_YMD|GETOFF_CALC_YMD|ETL_TYPE|ETL_DATE
377231|0000000742981458              |20220528|122803|031|674|0|30300100|130010002|130752509|1|20220528|122440|8001412|20220528|130000|8001028|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377233|0000000903140606              |20220528|073853|014|675|0|30300064|130010015|130759670|1|20220528|071054|8002484|20220528|074225|8002357|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377547|0000000095849346              |20220528|111219|009|675|0|30300079|130010009|130759134|4|20220528|110519|8002541|20220528|111657|8001199|1|750|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377549|0000000533880435              |20220528|124909|016|675|0|30300048|130010006|130759010|4|20220528|123038|8005860|20220528|130027|8001272|1|750|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377551|0000000549415098              |20220528|131418|005|674|0|30300002|130010007|130759320|2|20220528|124746|8002131|20220528|140017|8001419|1|350|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377553|0000000547773113              |20220528|133320|009|675|0|30300096|130010006|130752066|4|20220528|123855|8002535|20220528|141303|8002969|1|750|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377555|0000000543470832              |20220528|194402|002|675|0|30300058|130010004|130752263|1|20220528|190422|8001647|20220528|195003|8007269|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377557|0000000535682991              |20220528|083645|007|676|0|30300130|130010008|130752148|4|20220528|082227|8001717|20220528|084805|8002603|1|750|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377559|0000000503096855              |20220528|134305|004|675|0|30300046|130010002|130752342|4|20220528|133656|8001152|20220528|142033|8002412|1|750|0|      |20220528|20220528|0603|2022-06-08 07:02:41
377561|0000000548103488              |20220528|151322|015|676|0|30300051|130010008|130752124|4|20220528|150532|8001096|20220528|152714|8002454|1|750|0|      |20220528|20220528|0603|2022-06-08 07:02:41
